,id_tweet,user,text,created_at,retweet_count,reply_count,like_count,quote_count
0,1546600993936252929,gabriel,pedi coxinha no ifood e simplesmente to com a expectativa la no alto. o cheiro da decepção tá vindo,2022-07-11 21:03:06+00:00,0,1,1,0
1,1546600974210449413,milena,"@sophii_i amiga nao coma, pedi esses dias no ifood 4 cupcake veio so 3 e eles nao me reembolsam por nada nesse mundo!!!! 😡😡😡😡😡",2022-07-11 21:03:01+00:00,0,1,0,0
2,1546600875958964225,BOCA DE 09 CARTAO CLONADO,"@carolinx77 🚨CANSADO DE COMPRAR E NÃO RECEBER? VEM COMIGO, CONSULTAVEL PARA COMPRAS NA NET E VIRADA DE SALDO, E AS UNIDADES APENAS PARA COMPRAS NA NET ( SHEIN, IFOOD, AMERICANAS, UBER ENTRE OUTROS)

TENHO REFERENCIAS 💳",2022-07-11 21:02:37+00:00,0,0,0,0
3,1546600849748770817,gaby ✨,Pedi salgadinho no iFood espero que seja bom 😮‍💨,2022-07-11 21:02:31+00:00,0,0,0,0
4,1546600828936626178,Alguém precisa de Ajuda!,RT @JEFFERS39275806: @iFood ESTOU TENTANDO CONTATO COM TODAS AS PLATAFORMAS POSSÍVEIS E NÃO TENHO MEU PROBLEMA RESOLVIDO. ESTOU COM MINHA C…,2022-07-11 21:02:26+00:00,1,0,0,0
5,1546600193881169921,Gabriel,"Melhor coisa que aconteceu foi ter entrega de farmácia no ifood, tô fazendo a festa de skin care https://t.co/wb8eu53JNJ",2022-07-11 20:59:55+00:00,0,0,0,0
6,1546600188067938305,stay at home daughter,"@Zeeyter @iFood Não sei, mas pra mim n vale mais a pena comprar sem cupom de 10 kkk até apaguei o app",2022-07-11 20:59:53+00:00,0,0,0,0
7,1546599877764956160,Carlos CRF ❤️🖤,Mano trocaram a equipe toda do McDonald's e o ifood nunca demorou tanto pra sair ...,2022-07-11 20:58:39+00:00,0,0,0,0
8,1546599854461313025,muleque playboy funkeiro sexo anal,incrivel cara todo dia no mesmo horario chega notificaçao do ifood tentando me vender alguma coisa e todo dia eu escuto o VRRR VRRR e já pego o celular igual um animal pensando que é algo importante,2022-07-11 20:58:34+00:00,0,0,0,0
9,1546599781828526082,JEFFERSON,"@iFood ESTOU TENTANDO CONTATO COM TODAS AS PLATAFORMAS POSSÍVEIS E NÃO TENHO MEU PROBLEMA RESOLVIDO. ESTOU COM MINHA CONTA INATIVADA A 20 DIAS COM 191,00 PRESOS NA CARTEIRA QUE ERA PARA FAZER COMPRAS DE ALIMENTOS NO MERCADO. ME AJUDEM POR FAVOR, TO EM ATO DE DESESPERO.",2022-07-11 20:58:17+00:00,1,0,0,0
10,1546599546192789505,Jenny,O jeito que eu gasto dinheiro que não tenho no iFood é diferente kkkk,2022-07-11 20:57:20+00:00,0,0,0,0
11,1546599203736064002,Keiichi não tankou o bostil,"@StupidGayDeku1 @ArthZ777 @criticaduvidosa Minha mãe e meu pai fazem comida e compram Ifood 

Quem pensa que a mãe é preguiçosa por isso é tão retardado quanto a chargista ,porque se a minha mãe compra fast food eu fico feliz e não fico xingando ela",2022-07-11 20:55:59+00:00,0,1,0,0
